Time,Temperature,Pressure,Altitude,Latitude,Longitude,gps_altitude,gps_sats,gyro_x,gyro_y,gyro_z,bmp_status,gps_status,gyro_status,apc_status,servo_status,servo_rotation,sd_status
1,11,31,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
2,12,32,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
3,13,33,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
4,14,34,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
5,15,35,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
6,16,36,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
7,17,37,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
8,18,38,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
9,19,39,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
10,20,40,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
11,21,41,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
12,22,42,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
13,23,43,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
14,24,44,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
15,25,45,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
16,26,46,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
17,27,47,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
18,28,48,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
19,29,49,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
20,30,50,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
21,31,51,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
22,32,52,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
23,33,53,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
24,34,54,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
25,35,55,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
26,36,56,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
27,37,57,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
28,38,58,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
29,39,59,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
30,40,60,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
31,41,61,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
32,42,62,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
33,43,63,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
34,44,64,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
35,45,65,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
36,46,66,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
37,47,67,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
38,48,68,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
39,49,69,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
40,50,70,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
41,51,71,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
42,52,72,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,0,0,0,0,0,0,0
